id,station_code,sample_date,analyte,result,unit
1,Crown 2001 Shoreline Dr.,2010-05-03T00:00:00,Enterococcus,2,MPN/100 mL
2,Crown 2001 Shoreline Dr.,2010-05-10T00:00:00,"Coliform, Total",20,MPN/100 mL
3,Crown 2001 Shoreline Dr.,2010-05-24T00:00:00,"Coliform, Fecal",1,MPN/100 mL
4,Crown 2001 Shoreline Dr.,2010-06-01T00:00:00,"Coliform, Total",230,MPN/100 mL
5,Crown 2001 Shoreline Dr.,2010-06-14T00:00:00,"Coliform, Total",860,MPN/100 mL
6,Crown 2001 Shoreline Dr.,2010-06-21T00:00:00,Enterococcus,1,MPN/100 mL
7,Crown 2001 Shoreline Dr.,2010-06-28T00:00:00,"Coliform, Fecal",27,MPN/100 mL
8,Crown 2001 Shoreline Dr.,2010-07-12T00:00:00,Enterococcus,5,MPN/100 mL
9,Crown 2001 Shoreline Dr.,2010-07-19T00:00:00,"Coliform, Total",340,MPN/100 mL
10,Crown 2001 Shoreline Dr.,2010-07-26T00:00:00,"Coliform, Total",370,MPN/100 mL
11,Crown 2001 Shoreline Dr.,2010-08-09T00:00:00,Enterococcus,8,MPN/100 mL
12,Crown 2001 Shoreline Dr.,2010-08-16T00:00:00,"Coliform, Total",10,MPN/100 mL
13,Crown 2001 Shoreline Dr.,2010-08-23T00:00:00,"Coliform, Total",10,MPN/100 mL
14,Crown 2001 Shoreline Dr.,2010-08-23T00:00:00,"Coliform, Fecal",4,MPN/100 mL
15,Crown 2001 Shoreline Dr.,2010-09-07T00:00:00,"Coliform, Fecal",1,MPN/100 mL
16,Crown 2001 Shoreline Dr.,2010-09-14T00:00:00,Enterococcus,1,MPN/100 mL
17,Crown 2001 Shoreline Dr.,2010-09-20T00:00:00,"Coliform, Fecal",19,MPN/100 mL
18,Crown 2001 Shoreline Dr.,2010-09-27T00:00:00,"Coliform, Fecal",37,MPN/100 mL
19,Crown 2001 Shoreline Dr.,2010-10-04T00:00:00,"Coliform, Total",320,MPN/100 mL
20,Crown 2001 Shoreline Dr.,2010-10-04T00:00:00,"Coliform, Fecal",40,MPN/100 mL
21,Crown 2001 Shoreline Dr.,2011-01-18T00:00:00,"Coliform, Total",500,MPN/100 mL
